Status Code,Successful URL
200,https://t.mookie1.com/t/v1/imp?migAgencyId=14&migSource=adsrv2&migRandom=timestamp&migTrackDataExt=2664361;122739829;295904576;65577755&migTrackFmtExt=client;io;ad;crtv
200,https://ad.doubleclick.net/ddm/ad/N6344.288332.ACCUEN/B9325076.129120123;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N8084.275383THEEXCHANGELAB/B9150230.124212633;sz=1x1;ord=${CACHEBUSTER}
200,https://t.mookie1.com/t/v1/imp?migAgencyId=616&migSource=adsrv2&migRandom=timestamp&migTrackDataExt=3523435;130409495;303707848;0&migTrackFmtExt=client;io;ad;crtv&migUnencodedDest=https://ad.doubleclick.net/ddm/ad/N4406.1308838.XAXIS.COM/B9574157.130409495;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N6041.288332.ACCUEN/B8879990.121189122;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N9515.1264338TRIPLELIFTINC2/B8450186.127729513;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/trackimp/N6036.1264338TRIPLELIFTINC/B9331301.129111520;dc_trk_aid=302397813;dc_trk_cid=69389531;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N9724.288332ACCUEN/B9289668.130478160;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N208202.1081839AUDIENCETRADING.C/B9159850.125516751;sz=1x1;ord=RANDOM_NUMBER?
200,https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485015;dc_trk_aid=301461699;dc_trk_cid=66292004;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://tag.researchnow.com/t/beacon?pr=7721&ca=9088505&pl=124414329&cr=&si=Triplelift&adn=3&tt=3&a=1
200,https://ad.doubleclick.net/ddm/ad/N6451.147350.AOD.COM/B9325060.126947535;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
